AREAS,TIMESTAMP_d,INTERCOS,availabilityFactor_import,availabilityFactor_export,da_price
FR,2016-01-01T00:00:00Z,BE,0.575,1,22.39
FR,2016-01-01T01:00:00Z,BE,0.575,1,20.59
FR,2016-01-01T02:00:00Z,BE,0.575,1,16.81
FR,2016-01-01T03:00:00Z,BE,0.575,1,17.41
FR,2016-01-01T04:00:00Z,BE,0.575,1,17.02
FR,2016-01-01T05:00:00Z,BE,0.575,1,15.86
FR,2016-01-01T06:00:00Z,BE,0.575,1,18.16
FR,2016-01-01T07:00:00Z,BE,0.575,1,17.73
FR,2016-01-01T08:00:00Z,BE,0.575,1,19.77
FR,2016-01-01T09:00:00Z,BE,0.575,1,23.75
FR,2016-01-01T10:00:00Z,BE,0.575,1,26.03
FR,2016-01-01T11:00:00Z,BE,0.575,1,27.06
FR,2016-01-01T12:00:00Z,BE,0.575,1,26.59
FR,2016-01-01T13:00:00Z,BE,0.575,1,25
FR,2016-01-01T14:00:00Z,BE,0.575,1,20.06
FR,2016-01-01T15:00:00Z,BE,0.575,1,19.43
FR,2016-01-01T16:00:00Z,BE,0.575,1,24.57
FR,2016-01-01T17:00:00Z,BE,0.575,1,33.11
FR,2016-01-01T18:00:00Z,BE,0.575,1,35.34
FR,2016-01-01T19:00:00Z,BE,0.575,1,33.07
FR,2016-01-01T20:00:00Z,BE,0.575,1,29.52
FR,2016-01-01T21:00:00Z,BE,0.575,1,30.1
FR,2016-01-01T22:00:00Z,BE,0.575,1,24.57
FR,2016-01-01T23:00:00Z,BE,0.575,1,22.2
FR,2016-01-02T00:00:00Z,BE,0.575,1,16.57
FR,2016-01-02T01:00:00Z,BE,0.575,1,15.35
FR,2016-01-02T02:00:00Z,BE,0.575,1,12.77
FR,2016-01-02T03:00:00Z,BE,0.575,1,11.27
FR,2016-01-02T04:00:00Z,BE,0.575,1,11.91
FR,2016-01-02T05:00:00Z,BE,0.575,1,12.62
FR,2016-01-02T06:00:00Z,BE,0.575,1,14.32
FR,2016-01-02T07:00:00Z,BE,0.575,1,18.5
FR,2016-01-02T08:00:00Z,BE,0.575,1,21.3
FR,2016-01-02T09:00:00Z,BE,0.575,1,25.47
FR,2016-01-02T10:00:00Z,BE,0.575,1,26.12
FR,2016-01-02T11:00:00Z,BE,0.575,1,30.56
FR,2016-01-02T12:00:00Z,BE,0.575,1,27.4
FR,2016-01-02T13:00:00Z,BE,0.575,1,23.4
FR,2016-01-02T14:00:00Z,BE,0.575,1,19.86
FR,2016-01-02T15:00:00Z,BE,0.575,1,22.5
FR,2016-01-02T16:00:00Z,BE,0.575,1,34.8
FR,2016-01-02T17:00:00Z,BE,0.575,1,44.65
FR,2016-01-02T18:00:00Z,BE,0.575,1,39
FR,2016-01-02T19:00:00Z,BE,0.575,1,35
FR,2016-01-02T20:00:00Z,BE,0.575,1,27.54
FR,2016-01-02T21:00:00Z,BE,0.575,1,32.18
FR,2016-01-02T22:00:00Z,BE,0.575,1,37.41
FR,2016-01-02T23:00:00Z,BE,0.575,1,21.39
FR,2016-01-03T00:00:00Z,BE,0.575,1,18.91
FR,2016-01-03T01:00:00Z,BE,0.575,1,19.07
FR,2016-01-03T02:00:00Z,BE,0.575,1,12.4
FR,2016-01-03T03:00:00Z,BE,0.575,1,7.83
FR,2016-01-03T04:00:00Z,BE,0.575,1,9.99
FR,2016-01-03T05:00:00Z,BE,0.575,1,6.25
FR,2016-01-03T06:00:00Z,BE,0.575,1,8.61
FR,2016-01-03T07:00:00Z,BE,0.575,1,12.59
FR,2016-01-03T08:00:00Z,BE,0.575,1,18.57
FR,2016-01-03T09:00:00Z,BE,0.575,1,21.87
FR,2016-01-03T10:00:00Z,BE,0.575,1,23.93
FR,2016-01-03T11:00:00Z,BE,0.575,1,24.22
FR,2016-01-03T12:00:00Z,BE,0.575,1,24.51
FR,2016-01-03T13:00:00Z,BE,0.575,1,20.78
FR,2016-01-03T14:00:00Z,BE,0.575,1,18.54
FR,2016-01-03T15:00:00Z,BE,0.575,1,18.76
FR,2016-01-03T16:00:00Z,BE,0.575,1,22.21
FR,2016-01-03T17:00:00Z,BE,0.575,1,26.76
FR,2016-01-03T18:00:00Z,BE,0.575,1,27.32
FR,2016-01-03T19:00:00Z,BE,0.575,1,25.33
FR,2016-01-03T20:00:00Z,BE,0.575,1,22.11
FR,2016-01-03T21:00:00Z,BE,0.575,1,23.49
FR,2016-01-03T22:00:00Z,BE,0.575,1,22.09
FR,2016-01-03T23:00:00Z,BE,0.575,1,13.78
FR,2016-01-04T00:00:00Z,BE,0.575,1,13.8
FR,2016-01-04T01:00:00Z,BE,0.575,1,12.3
FR,2016-01-04T02:00:00Z,BE,0.575,1,7.65
FR,2016-01-04T03:00:00Z,BE,0.575,1,7.66
FR,2016-01-04T04:00:00Z,BE,0.575,1,11.5
FR,2016-01-04T05:00:00Z,BE,0.575,1,19.79
FR,2016-01-04T06:00:00Z,BE,0.575,1,33.12
FR,2016-01-04T07:00:00Z,BE,0.575,1,37.32
FR,2016-01-04T08:00:00Z,BE,0.575,1,33.46
FR,2016-01-04T09:00:00Z,BE,0.575,1,33.24
FR,2016-01-04T10:00:00Z,BE,0.575,1,35.09
FR,2016-01-04T11:00:00Z,BE,0.575,1,35
FR,2016-01-04T12:00:00Z,BE,0.575,1,35
FR,2016-01-04T13:00:00Z,BE,0.575,1,34.94
FR,2016-01-04T14:00:00Z,BE,0.575,1,34.92
FR,2016-01-04T15:00:00Z,BE,0.575,1,38
FR,2016-01-04T16:00:00Z,BE,0.575,1,41.21
FR,2016-01-04T17:00:00Z,BE,0.575,1,42.95
FR,2016-01-04T18:00:00Z,BE,0.575,1,41.96
FR,2016-01-04T19:00:00Z,BE,0.575,1,34.94
FR,2016-01-04T20:00:00Z,BE,0.575,1,30.66
FR,2016-01-04T21:00:00Z,BE,0.575,1,30
FR,2016-01-04T22:00:00Z,BE,0.575,1,23.9
FR,2016-01-04T23:00:00Z,BE,0.575,1,25.03
FR,2016-01-05T00:00:00Z,BE,0.575,1,24.42
FR,2016-01-05T01:00:00Z,BE,0.575,1,22.34
