date_time,oil_price,coal_price,gas_price,co2_price
2018-01-02T15:00:00Z,427.2261860989247,134.2586643860215,48.72790976666666,7.661111111111111
2018-01-02T16:00:00Z,427.20949466639786,134.25547181317202,48.70399037708333,7.662430555555556
2018-01-02T17:00:00Z,427.19280323387096,134.25227924032257,48.6800709875,7.66375
2018-01-02T18:00:00Z,427.17611180134406,134.2490866674731,48.65615159791667,7.665069444444445
2018-01-02T19:00:00Z,427.15942036881717,134.24589409462365,48.632232208333335,7.666388888888889
2018-01-02T20:00:00Z,427.1427289362903,134.2427015217742,48.60831281875,7.667708333333334
2018-01-02T21:00:00Z,427.1260375037634,134.2395089489247,48.58439342916667,7.669027777777778
2018-01-02T22:00:00Z,427.10934607123653,134.23631637607525,48.56047403958333,7.670347222222222
2018-01-02T23:00:00Z,427.09265463870963,134.2331238032258,48.53655465,7.671666666666667
2018-01-03T00:00:00Z,427.0759632061828,134.22993123037634,48.52620840625,7.672986111111111
2018-01-03T01:00:00Z,427.0592717736559,134.22673865752688,48.5158621625,7.674305555555556
2018-01-03T02:00:00Z,427.042580341129,134.22354608467742,48.50551591875,7.675625
2018-01-03T03:00:00Z,427.02588890860216,134.22035351182794,48.495169675,7.676944444444445
2018-01-03T04:00:00Z,427.00919747607526,134.21716093897848,48.48482343125,7.678263888888889
2018-01-03T05:00:00Z,426.99250604354836,134.21396836612902,48.4744771875,7.679583333333333
2018-01-03T06:00:00Z,426.97581461102146,134.21077579327957,48.46413094375,7.680902777777778
2018-01-03T07:00:00Z,426.9591231784946,134.2075832204301,48.4537847,7.682222222222222
2018-01-03T08:00:00Z,426.9424317459677,134.20439064758062,48.44343845625,7.683541666666667
2018-01-03T09:00:00Z,426.9257403134408,134.20119807473117,48.4330922125,7.684861111111111
2018-01-03T10:00:00Z,426.909048880914,134.1980055018817,48.42274596875,7.686180555555556
2018-01-03T11:00:00Z,426.8923574483871,134.19481292903225,48.412399725,7.6875
2018-01-03T12:00:00Z,426.8756660158602,134.1916203561828,48.40205348125,7.688819444444444
2018-01-03T13:00:00Z,426.8589745833333,134.18842778333334,48.3917072375,7.690138888888889
2018-01-03T14:00:00Z,426.84228315080645,134.18523521048385,48.38136099375,7.691458333333333
2018-01-03T15:00:00Z,426.82559171827955,134.1820426376344,48.37101475,7.692777777777778
2018-01-03T16:00:00Z,426.80890028575266,134.17885006478494,48.36066850625,7.694097222222222
2018-01-03T17:00:00Z,426.7922088532258,134.17565749193548,48.3503222625,7.695416666666667
2018-01-03T18:00:00Z,426.7755174206989,134.17246491908602,48.33997601875,7.696736111111111
2018-01-03T19:00:00Z,426.758825988172,134.16927234623654,48.329629775,7.698055555555555
2018-01-03T20:00:00Z,426.7421345556451,134.16607977338708,48.31928353125,7.699375
2018-01-03T21:00:00Z,426.7254431231183,134.16288720053763,48.3089372875,7.700694444444444
2018-01-03T22:00:00Z,426.7087516905914,134.15969462768817,48.29859104375,7.702013888888889
2018-01-03T23:00:00Z,426.6920602580645,134.1565020548387,48.2882448,7.703333333333333
2018-01-04T00:00:00Z,426.67536882553765,134.15330948198923,48.23599895416667,7.704652777777778
2018-01-04T01:00:00Z,426.65867739301075,134.15011690913977,48.183753108333335,7.705972222222222
2018-01-04T02:00:00Z,426.64198596048385,134.1469243362903,48.1315072625,7.707291666666666
2018-01-04T03:00:00Z,426.62529452795695,134.14373176344085,48.07926141666667,7.708611111111111
2018-01-04T04:00:00Z,426.6086030954301,134.1405391905914,48.027015570833335,7.709930555555555
2018-01-04T05:00:00Z,426.5919116629032,134.13734661774194,47.974769725,7.71125
2018-01-04T06:00:00Z,426.5752202303763,134.13415404489245,47.92252387916666,7.712569444444444
2018-01-04T07:00:00Z,426.5585287978494,134.130961472043,47.87027803333333,7.713888888888889
2018-01-04T08:00:00Z,426.5418373653226,134.12776889919354,47.818032187499995,7.715208333333333
2018-01-04T09:00:00Z,426.5251459327957,134.12457632634408,47.76578634166666,7.716527777777777
2018-01-04T10:00:00Z,426.5084545002688,134.12138375349463,47.71354049583333,7.717847222222222
2018-01-04T11:00:00Z,426.49176306774194,134.11819118064514,47.661294649999995,7.719166666666666
2018-01-04T12:00:00Z,426.47507163521504,134.11499860779568,47.60904880416666,7.720486111111112
2018-01-04T13:00:00Z,426.45838020268815,134.11180603494623,47.55680295833333,7.721805555555555
