TIMESTAMP,TECHNOLOGIES,availabilityFactor
1,Fossil Gas,0.9447813185395433
1,Fossil Hard coal,0.6142334552710342
1,Fossil Oil,0.9323308270676691
1,Hydro Water Reservoir,0.9681032383735086
1,Nuclear,0.9295897354664977
2,Fossil Gas,0.9447813185395433
2,Fossil Hard coal,0.6142334552710342
2,Fossil Oil,0.9323308270676691
2,Hydro Water Reservoir,0.9681032383735086
2,Nuclear,0.9295897354664977
3,Fossil Gas,0.9447813185395433
3,Fossil Hard coal,0.6142334552710342
3,Fossil Oil,0.9323308270676691
3,Hydro Water Reservoir,0.9681032383735086
3,Nuclear,0.9295897354664977
4,Fossil Gas,0.9447813185395433
4,Fossil Hard coal,0.6142334552710342
4,Fossil Oil,0.9323308270676691
4,Hydro Water Reservoir,0.9681032383735086
4,Nuclear,0.9295897354664977
5,Fossil Gas,0.9447813185395433
5,Fossil Hard coal,0.6142334552710342
5,Fossil Oil,0.9323308270676691
5,Hydro Water Reservoir,0.9681032383735086
5,Nuclear,0.9295897354664977
6,Fossil Gas,0.9447813185395433
6,Fossil Hard coal,0.6142334552710342
6,Fossil Oil,0.9323308270676691
6,Hydro Water Reservoir,0.9681032383735086
6,Nuclear,0.9295897354664977
7,Fossil Gas,0.9447813185395433
7,Fossil Hard coal,0.6142334552710342
7,Fossil Oil,0.9323308270676691
7,Hydro Water Reservoir,0.9681032383735086
7,Nuclear,0.9295897354664977
8,Fossil Gas,0.9447813185395433
8,Fossil Hard coal,0.6142334552710342
8,Fossil Oil,0.9323308270676691
8,Hydro Water Reservoir,0.9681032383735086
8,Nuclear,0.9295897354664977
9,Fossil Gas,0.9447813185395433
9,Fossil Hard coal,0.6142334552710342
9,Fossil Oil,0.9323308270676691
9,Hydro Water Reservoir,0.9681032383735086
9,Nuclear,0.9295897354664977
10,Fossil Gas,0.9447813185395433
10,Fossil Hard coal,0.6142334552710342
10,Fossil Oil,0.9323308270676691
10,Hydro Water Reservoir,0.9681032383735086
10,Nuclear,0.9295897354664977
11,Fossil Gas,0.9447813185395433
11,Fossil Hard coal,0.6142334552710342
11,Fossil Oil,0.9323308270676691
11,Hydro Water Reservoir,0.9681032383735086
11,Nuclear,0.9295897354664977
12,Fossil Gas,0.9447813185395433
12,Fossil Hard coal,0.6142334552710342
12,Fossil Oil,0.9323308270676691
12,Hydro Water Reservoir,0.9681032383735086
12,Nuclear,0.9295897354664977
13,Fossil Gas,0.9447813185395433
13,Fossil Hard coal,0.6142334552710342
13,Fossil Oil,0.9323308270676691
13,Hydro Water Reservoir,0.9681032383735086
13,Nuclear,0.9295897354664977
14,Fossil Gas,0.9447813185395433
14,Fossil Hard coal,0.6142334552710342
14,Fossil Oil,0.9323308270676691
14,Hydro Water Reservoir,0.9681032383735086
14,Nuclear,0.9295897354664977
15,Fossil Gas,0.9447813185395433
15,Fossil Hard coal,0.6142334552710342
15,Fossil Oil,0.9323308270676691
15,Hydro Water Reservoir,0.9681032383735086
15,Nuclear,0.9295897354664977
16,Fossil Gas,0.9447813185395433
16,Fossil Hard coal,0.6142334552710342
16,Fossil Oil,0.9323308270676691
16,Hydro Water Reservoir,0.9681032383735086
16,Nuclear,0.9295897354664977
17,Fossil Gas,0.9447813185395433
17,Fossil Hard coal,0.6142334552710342
17,Fossil Oil,0.9323308270676691
17,Hydro Water Reservoir,0.9681032383735086
17,Nuclear,0.9295897354664977
18,Fossil Gas,0.9447813185395433
18,Fossil Hard coal,0.6142334552710342
18,Fossil Oil,0.9323308270676691
18,Hydro Water Reservoir,0.9681032383735086
18,Nuclear,0.9295897354664977
19,Fossil Gas,0.9447813185395433
19,Fossil Hard coal,0.6142334552710342
19,Fossil Oil,0.9323308270676691
19,Hydro Water Reservoir,0.9681032383735086
19,Nuclear,0.9295897354664977
20,Fossil Gas,0.9447813185395433
20,Fossil Hard coal,0.6142334552710342
20,Fossil Oil,0.9323308270676691
20,Hydro Water Reservoir,0.9681032383735086
20,Nuclear,0.9295897354664977
21,Fossil Gas,0.9447813185395433
21,Fossil Hard coal,0.6142334552710342
21,Fossil Oil,0.9323308270676691
21,Hydro Water Reservoir,0.9681032383735086
21,Nuclear,0.9295897354664977
22,Fossil Gas,0.9447813185395433
22,Fossil Hard coal,0.6142334552710342
22,Fossil Oil,0.9323308270676691
22,Hydro Water Reservoir,0.9681032383735086
22,Nuclear,0.9295897354664977
23,Fossil Gas,0.9447813185395433
23,Fossil Hard coal,0.6142334552710342
23,Fossil Oil,0.9323308270676691
23,Hydro Water Reservoir,0.9681032383735086
23,Nuclear,0.9295897354664977
24,Fossil Gas,0.9447813185395433
24,Fossil Hard coal,0.6142334552710342
24,Fossil Oil,0.9323308270676691
24,Hydro Water Reservoir,0.9681032383735086
24,Nuclear,0.9295897354664977
25,Fossil Gas,0.9447813185395433
25,Fossil Hard coal,0.6142334552710342
25,Fossil Oil,0.9323308270676691
25,Hydro Water Reservoir,0.9681032383735086
25,Nuclear,0.9501821637890068
26,Fossil Gas,0.9447813185395433
26,Fossil Hard coal,0.6142334552710342
26,Fossil Oil,0.9323308270676691
26,Hydro Water Reservoir,0.9681032383735086
26,Nuclear,0.9501821637890068
27,Fossil Gas,0.9447813185395433
27,Fossil Hard coal,0.6142334552710342
27,Fossil Oil,0.9323308270676691
27,Hydro Water Reservoir,0.9681032383735086
27,Nuclear,0.9501821637890068
28,Fossil Gas,0.9447813185395433
28,Fossil Hard coal,0.6142334552710342
28,Fossil Oil,0.9323308270676691
28,Hydro Water Reservoir,0.9681032383735086
28,Nuclear,0.9501821637890068
29,Fossil Gas,0.9447813185395433
29,Fossil Hard coal,0.6142334552710342
29,Fossil Oil,0.9323308270676691
29,Hydro Water Reservoir,0.9681032383735086
29,Nuclear,0.9501821637890068
30,Fossil Gas,0.9447813185395433
30,Fossil Hard coal,0.6142334552710342
30,Fossil Oil,0.9323308270676691
30,Hydro Water Reservoir,0.9681032383735086
30,Nuclear,0.9501821637890068
31,Fossil Gas,0.9447813185395433
31,Fossil Hard coal,0.6142334552710342
31,Fossil Oil,0.9323308270676691
31,Hydro Water Reservoir,0.9681032383735086
31,Nuclear,0.9501821637890068
32,Fossil Gas,0.9447813185395433
32,Fossil Hard coal,0.6142334552710342
32,Fossil Oil,0.9323308270676691
32,Hydro Water Reservoir,0.9681032383735086
32,Nuclear,0.9358466656106447
33,Fossil Gas,0.9447813185395433
33,Fossil Hard coal,0.6142334552710342
33,Fossil Oil,0.9323308270676691
33,Hydro Water Reservoir,0.9681032383735086
33,Nuclear,0.9358466656106447
34,Fossil Gas,0.9447813185395433
34,Fossil Hard coal,0.6142334552710342
34,Fossil Oil,0.9323308270676691
34,Hydro Water Reservoir,0.9681032383735086
34,Nuclear,0.9358466656106447
35,Fossil Gas,0.9447813185395433
35,Fossil Hard coal,0.6142334552710342
35,Fossil Oil,0.9323308270676691
35,Hydro Water Reservoir,0.9681032383735086
35,Nuclear,0.9358466656106447
36,Fossil Gas,0.9447813185395433
36,Fossil Hard coal,0.6142334552710342
36,Fossil Oil,0.9323308270676691
36,Hydro Water Reservoir,0.9681032383735086
36,Nuclear,0.9358466656106447
37,Fossil Gas,0.9447813185395433
37,Fossil Hard coal,0.6142334552710342
37,Fossil Oil,0.9323308270676691
37,Hydro Water Reservoir,0.9681032383735086
37,Nuclear,0.9358466656106447
38,Fossil Gas,0.9447813185395433
38,Fossil Hard coal,0.6142334552710342
38,Fossil Oil,0.9323308270676691
38,Hydro Water Reservoir,0.9681032383735086
38,Nuclear,0.9358466656106447
39,Fossil Gas,0.9447813185395433
39,Fossil Hard coal,0.6142334552710342
39,Fossil Oil,0.9323308270676691
39,Hydro Water Reservoir,0.9681032383735086
39,Nuclear,0.9358466656106447
40,Fossil Gas,0.9447813185395433
40,Fossil Hard coal,0.6142334552710342
40,Fossil Oil,0.9323308270676691
40,Hydro Water Reservoir,0.9681032383735086
40,Nuclear,0.9348962458419136
41,Fossil Gas,0.9447813185395433
41,Fossil Hard coal,0.6142334552710342
41,Fossil Oil,0.9323308270676691
41,Hydro Water Reservoir,0.9681032383735086
41,Nuclear,0.9492317440202757
42,Fossil Gas,0.9447813185395433
42,Fossil Hard coal,0.6142334552710342
42,Fossil Oil,0.9323308270676691
42,Hydro Water Reservoir,0.9681032383735086
42,Nuclear,0.9492317440202757
43,Fossil Gas,0.9447813185395433
43,Fossil Hard coal,0.6142334552710342
43,Fossil Oil,0.9323308270676691
43,Hydro Water Reservoir,0.9681032383735086
43,Nuclear,0.9492317440202757
44,Fossil Gas,0.9447813185395433
44,Fossil Hard coal,0.6142334552710342
44,Fossil Oil,0.9323308270676691
44,Hydro Water Reservoir,0.9681032383735086
44,Nuclear,0.9492317440202757
45,Fossil Gas,0.9447813185395433
45,Fossil Hard coal,0.6142334552710342
45,Fossil Oil,0.9323308270676691
45,Hydro Water Reservoir,0.9681032383735086
45,Nuclear,0.9492317440202757
46,Fossil Gas,0.9447813185395433
46,Fossil Hard coal,0.6142334552710342
46,Fossil Oil,0.9323308270676691
46,Hydro Water Reservoir,0.9681032383735086
46,Nuclear,0.9492317440202757
47,Fossil Gas,0.9447813185395433
47,Fossil Hard coal,0.6142334552710342
47,Fossil Oil,0.9323308270676691
47,Hydro Water Reservoir,0.9681032383735086
47,Nuclear,0.9492317440202757
48,Fossil Gas,0.9447813185395433
48,Fossil Hard coal,0.6142334552710342
48,Fossil Oil,0.9323308270676691
48,Hydro Water Reservoir,0.9681032383735086
48,Nuclear,0.9492317440202757
49,Fossil Gas,0.9447813185395433
49,Fossil Hard coal,0.6142334552710342
49,Fossil Oil,0.9323308270676691
49,Hydro Water Reservoir,0.9681032383735086
49,Nuclear,0.9492317440202757
50,Fossil Gas,0.9447813185395433
50,Fossil Hard coal,0.6142334552710342
50,Fossil Oil,0.9323308270676691
50,Hydro Water Reservoir,0.9681032383735086
50,Nuclear,0.9492317440202757
51,Fossil Gas,0.9447813185395433
51,Fossil Hard coal,0.6142334552710342
51,Fossil Oil,0.9323308270676691
