TIMESTAMP,TECHNOLOGIES,availabilityFactor
1,Fossil Gas,0.9456966016582973
1,Fossil Hard coal,0.8064731398064732
1,Fossil Oil,1
1,Hydro Water Reservoir,0.9781314542582918
1,Nuclear,0.8488040551243465
2,Fossil Gas,0.9456966016582973
2,Fossil Hard coal,0.8064731398064732
2,Fossil Oil,1
2,Hydro Water Reservoir,0.9781314542582918
2,Nuclear,0.8488040551243465
3,Fossil Gas,0.9456966016582973
3,Fossil Hard coal,0.8064731398064732
3,Fossil Oil,1
3,Hydro Water Reservoir,0.9781314542582918
3,Nuclear,0.8488040551243465
4,Fossil Gas,0.8975826229125307
4,Fossil Hard coal,0.8064731398064732
4,Fossil Oil,1
4,Hydro Water Reservoir,0.9781314542582918
4,Nuclear,0.8488040551243465
5,Fossil Gas,0.9518860212542334
5,Fossil Hard coal,0.8064731398064732
5,Fossil Oil,1
5,Hydro Water Reservoir,0.9781314542582918
5,Nuclear,0.8488040551243465
6,Fossil Gas,0.9518860212542334
6,Fossil Hard coal,0.8064731398064732
6,Fossil Oil,1
6,Hydro Water Reservoir,0.9781314542582918
6,Nuclear,0.8488040551243465
7,Fossil Gas,0.9518860212542334
7,Fossil Hard coal,0.8064731398064732
7,Fossil Oil,1
7,Hydro Water Reservoir,0.9781314542582918
7,Nuclear,0.8488040551243465
8,Fossil Gas,0.9518860212542334
8,Fossil Hard coal,0.8064731398064732
8,Fossil Oil,1
8,Hydro Water Reservoir,0.9781314542582918
8,Nuclear,0.8488040551243465
9,Fossil Gas,0.9518860212542334
9,Fossil Hard coal,0.8064731398064732
9,Fossil Oil,1
9,Hydro Water Reservoir,0.9781314542582918
9,Nuclear,0.8488040551243465
10,Fossil Gas,0.9518860212542334
10,Fossil Hard coal,0.8064731398064732
10,Fossil Oil,1
10,Hydro Water Reservoir,0.9781314542582918
10,Nuclear,0.8488040551243465
11,Fossil Gas,0.9518860212542334
11,Fossil Hard coal,0.8064731398064732
11,Fossil Oil,1
11,Hydro Water Reservoir,0.9781314542582918
11,Nuclear,0.8488040551243465
12,Fossil Gas,0.9518860212542334
12,Fossil Hard coal,0.8064731398064732
12,Fossil Oil,1
12,Hydro Water Reservoir,0.9781314542582918
