TIMESTAMP,TECHNOLOGIES,availabilityFactor
1,Fossil Gas,0.9511832628329713
1,Fossil Hard coal,0.8064731398064732
1,Fossil Oil,1
1,Hydro Water Reservoir,1
1,Nuclear,0.7517028354189768
2,Fossil Gas,1
2,Fossil Hard coal,0.8064731398064732
2,Fossil Oil,1
2,Hydro Water Reservoir,1
2,Nuclear,0.7871851734516078
3,Fossil Gas,1
3,Fossil Hard coal,0.8064731398064732
3,Fossil Oil,1
3,Hydro Water Reservoir,1
3,Nuclear,0.7871851734516078
4,Fossil Gas,1
4,Fossil Hard coal,0.8064731398064732
4,Fossil Oil,1
4,Hydro Water Reservoir,1
4,Nuclear,0.7871851734516078
5,Fossil Gas,1
5,Fossil Hard coal,0.8064731398064732
5,Fossil Oil,1
5,Hydro Water Reservoir,1
5,Nuclear,0.7947885316014573
6,Fossil Gas,1
6,Fossil Hard coal,0.8064731398064732
6,Fossil Oil,1
6,Hydro Water Reservoir,1
6,Nuclear,0.7947885316014573
7,Fossil Gas,1
7,Fossil Hard coal,0.8064731398064732
7,Fossil Oil,1
7,Hydro Water Reservoir,1
7,Nuclear,0.7947885316014573
8,Fossil Gas,1
8,Fossil Hard coal,0.8064731398064732
8,Fossil Oil,1
8,Hydro Water Reservoir,1
8,Nuclear,0.7822746713131633
9,Fossil Gas,1
9,Fossil Hard coal,0.8064731398064732
9,Fossil Oil,1
9,Hydro Water Reservoir,1
9,Nuclear,0.7822746713131633
10,Fossil Gas,1
10,Fossil Hard coal,0.8064731398064732
10,Fossil Oil,1
10,Hydro Water Reservoir,1
10,Nuclear,0.7718042135276414
11,Fossil Gas,1
11,Fossil Hard coal,0.8064731398064732
11,Fossil Oil,1
11,Hydro Water Reservoir,1
11,Nuclear,0.7718042135276414
12,Fossil Gas,0.9502686635417857
12,Fossil Hard coal,0.8064731398064732
12,Fossil Oil,1
12,Hydro Water Reservoir,1
12,Nuclear,0.7822746713131633
13,Fossil Gas,0.9502686635417857
13,Fossil Hard coal,0.8064731398064732
13,Fossil Oil,1
13,Hydro Water Reservoir,1
13,Nuclear,0.7822746713131633
14,Fossil Gas,0.9502686635417857
14,Fossil Hard coal,0.8064731398064732
14,Fossil Oil,1
14,Hydro Water Reservoir,1
14,Nuclear,0.7822746713131633
15,Fossil Gas,0.9502686635417857
15,Fossil Hard coal,0.8064731398064732
15,Fossil Oil,1
15,Hydro Water Reservoir,1
15,Nuclear,0.7822746713131633
16,Fossil Gas,0.9502686635417857
16,Fossil Hard coal,0.8064731398064732
16,Fossil Oil,1
16,Hydro Water Reservoir,1
16,Nuclear,0.7901948360525899
17,Fossil Gas,0.9502686635417857
17,Fossil Hard coal,0.8064731398064732
17,Fossil Oil,1
17,Hydro Water Reservoir,1
17,Nuclear,0.8111040709646761
18,Fossil Gas,1
18,Fossil Hard coal,0.8064731398064732
18,Fossil Oil,1
18,Hydro Water Reservoir,1
18,Nuclear,0.8255979724378267
19,Fossil Gas,1
19,Fossil Hard coal,0.8064731398064732
19,Fossil Oil,1
19,Hydro Water Reservoir,1
19,Nuclear,0.831934104229368
20,Fossil Gas,1
20,Fossil Hard coal,0.8064731398064732
20,Fossil Oil,1
20,Hydro Water Reservoir,1
20,Nuclear,0.8463488040551244
21,Fossil Gas,1
21,Fossil Hard coal,0.8064731398064732
21,Fossil Oil,1
21,Hydro Water Reservoir,1
21,Nuclear,0.8463488040551244
22,Fossil Gas,1
22,Fossil Hard coal,0.8064731398064732
22,Fossil Oil,1
22,Hydro Water Reservoir,1
22,Nuclear,0.8463488040551244
23,Fossil Gas,1
23,Fossil Hard coal,0.8064731398064732
23,Fossil Oil,1
23,Hydro Water Reservoir,1
23,Nuclear,0.8351021701251387
24,Fossil Gas,1
24,Fossil Hard coal,0.8064731398064732
24,Fossil Oil,1
24,Hydro Water Reservoir,1
24,Nuclear,0.8351021701251387
25,Fossil Gas,1
25,Fossil Hard coal,0.8064731398064732
25,Fossil Oil,1
25,Hydro Water Reservoir,1
25,Nuclear,0.8351021701251387
26,Fossil Gas,1
26,Fossil Hard coal,0.8064731398064732
26,Fossil Oil,1
26,Hydro Water Reservoir,1
26,Nuclear,0.8463488040551244
27,Fossil Gas,1
27,Fossil Hard coal,0.8064731398064732
27,Fossil Oil,1
27,Hydro Water Reservoir,1
27,Nuclear,0.8463488040551244
28,Fossil Gas,1
28,Fossil Hard coal,0.8064731398064732
28,Fossil Oil,1
28,Hydro Water Reservoir,1
28,Nuclear,0.856645018216379
29,Fossil Gas,1
29,Fossil Hard coal,0.8064731398064732
29,Fossil Oil,1
29,Hydro Water Reservoir,1
29,Nuclear,0.856645018216379
30,Fossil Gas,1
30,Fossil Hard coal,0.8064731398064732
30,Fossil Oil,1
30,Hydro Water Reservoir,1
30,Nuclear,0.877237446538888
31,Fossil Gas,1
31,Fossil Hard coal,0.8064731398064732
31,Fossil Oil,1
31,Hydro Water Reservoir,1
31,Nuclear,0.9009979407571678
32,Fossil Gas,1
32,Fossil Hard coal,0.8064731398064732
32,Fossil Oil,1
32,Hydro Water Reservoir,1
32,Nuclear,0.9009979407571678
33,Fossil Gas,1
33,Fossil Hard coal,0.8064731398064732
33,Fossil Oil,1
33,Hydro Water Reservoir,1
33,Nuclear,0.9009979407571678
34,Fossil Gas,1
34,Fossil Hard coal,0.8064731398064732
34,Fossil Oil,1
34,Hydro Water Reservoir,1
34,Nuclear,0.9009979407571678
35,Fossil Gas,1
35,Fossil Hard coal,0.8064731398064732
35,Fossil Oil,0.9752906976744186
35,Hydro Water Reservoir,1
35,Nuclear,0.9009979407571678
36,Fossil Gas,1
36,Fossil Hard coal,0.8064731398064732
36,Fossil Oil,0.9752906976744186
36,Hydro Water Reservoir,1
36,Nuclear,0.9009979407571678
37,Fossil Gas,1
37,Fossil Hard coal,0.8064731398064732
37,Fossil Oil,1
37,Hydro Water Reservoir,1
37,Nuclear,0.9009979407571678
38,Fossil Gas,1
38,Fossil Hard coal,0.8064731398064732
38,Fossil Oil,0.9752906976744186
38,Hydro Water Reservoir,1
38,Nuclear,0.9009979407571678
39,Fossil Gas,1
39,Fossil Hard coal,0.8064731398064732
39,Fossil Oil,0.9752906976744186
39,Hydro Water Reservoir,1
39,Nuclear,0.9009979407571678
40,Fossil Gas,1
40,Fossil Hard coal,0.8064731398064732
40,Fossil Oil,1
40,Hydro Water Reservoir,1
40,Nuclear,0.9135118010454617
41,Fossil Gas,1
41,Fossil Hard coal,0.8064731398064732
41,Fossil Oil,1
41,Hydro Water Reservoir,1
41,Nuclear,0.9135118010454617
42,Fossil Gas,1
42,Fossil Hard coal,0.8064731398064732
42,Fossil Oil,1
42,Hydro Water Reservoir,1
42,Nuclear,0.9135118010454617
43,Fossil Gas,1
43,Fossil Hard coal,0.8064731398064732
43,Fossil Oil,1
43,Hydro Water Reservoir,1
43,Nuclear,0.9135118010454617
44,Fossil Gas,1
44,Fossil Hard coal,0.8064731398064732
44,Fossil Oil,1
44,Hydro Water Reservoir,1
44,Nuclear,0.9135118010454617
45,Fossil Gas,1
45,Fossil Hard coal,0.8064731398064732
45,Fossil Oil,1
45,Hydro Water Reservoir,1
45,Nuclear,0.9135118010454617
46,Fossil Gas,1
46,Fossil Hard coal,0.8064731398064732
46,Fossil Oil,1
46,Hydro Water Reservoir,1
46,Nuclear,0.9135118010454617
47,Fossil Gas,1
47,Fossil Hard coal,0.8064731398064732
47,Fossil Oil,1
47,Hydro Water Reservoir,1
47,Nuclear,0.9135118010454617
48,Fossil Gas,1
48,Fossil Hard coal,0.8064731398064732
48,Fossil Oil,1
48,Hydro Water Reservoir,1
48,Nuclear,0.9135118010454617
49,Fossil Gas,1
49,Fossil Hard coal,0.8064731398064732
49,Fossil Oil,1
49,Hydro Water Reservoir,1
49,Nuclear,0.9135118010454617
50,Fossil Gas,1
50,Fossil Hard coal,0.8064731398064732
50,Fossil Oil,1
50,Hydro Water Reservoir,1
50,Nuclear,0.9135118010454617
51,Fossil Gas,1
51,Fossil Hard coal,0.8064731398064732
51,Fossil Oil,1
51,Hydro Water Reservoir,1
51,Nuclear,0.9135118010454617
52,Fossil Gas,1
52,Fossil Hard coal,0.8064731398064732
52,Fossil Oil,1
52,Hydro Water Reservoir,1
52,Nuclear,0.9062252494851893
53,Fossil Gas,1
53,Fossil Hard coal,0.8064731398064732
53,Fossil Oil,1
53,Hydro Water Reservoir,1
53,Nuclear,0.9135118010454617
54,Fossil Gas,1
54,Fossil Hard coal,0.8064731398064732
54,Fossil Oil,1
54,Hydro Water Reservoir,1
54,Nuclear,0.9135118010454617
55,Fossil Gas,1
55,Fossil Hard coal,0.8064731398064732
55,Fossil Oil,1
55,Hydro Water Reservoir,1
55,Nuclear,0.9135118010454617
56,Fossil Gas,1
56,Fossil Hard coal,0.8064731398064732
56,Fossil Oil,1
56,Hydro Water Reservoir,1
56,Nuclear,0.9135118010454617
57,Fossil Gas,1
57,Fossil Hard coal,0.8064731398064732
57,Fossil Oil,1
57,Hydro Water Reservoir,1
57,Nuclear,0.9135118010454617
58,Fossil Gas,1
58,Fossil Hard coal,0.8064731398064732
58,Fossil Oil,1
58,Hydro Water Reservoir,1
58,Nuclear,0.9135118010454617
59,Fossil Gas,1
59,Fossil Hard coal,0.8064731398064732
59,Fossil Oil,1
59,Hydro Water Reservoir,1
59,Nuclear,0.9040234436876287
60,Fossil Gas,1
60,Fossil Hard coal,0.8064731398064732
60,Fossil Oil,1
60,Hydro Water Reservoir,1
60,Nuclear,0.9040234436876287
61,Fossil Gas,1
61,Fossil Hard coal,0.8064731398064732
61,Fossil Oil,1
61,Hydro Water Reservoir,1
61,Nuclear,0.9040234436876287
62,Fossil Gas,1
62,Fossil Hard coal,0.8064731398064732
62,Fossil Oil,1
62,Hydro Water Reservoir,1
62,Nuclear,0.9040234436876287
63,Fossil Gas,1
63,Fossil Hard coal,0.8064731398064732
63,Fossil Oil,1
63,Hydro Water Reservoir,1
63,Nuclear,0.9040234436876287
64,Fossil Gas,1
64,Fossil Hard coal,0.8064731398064732
64,Fossil Oil,1
64,Hydro Water Reservoir,1
64,Nuclear,0.9040234436876287
65,Fossil Gas,0.9735909454670173
65,Fossil Hard coal,0.8064731398064732
65,Fossil Oil,1
65,Hydro Water Reservoir,1
65,Nuclear,0.9040234436876287
66,Fossil Gas,0.9735909454670173
66,Fossil Hard coal,0.8064731398064732
66,Fossil Oil,1
66,Hydro Water Reservoir,1
66,Nuclear,0.9040234436876287
67,Fossil Gas,0.9735909454670173
67,Fossil Hard coal,0.8064731398064732
67,Fossil Oil,1
67,Hydro Water Reservoir,1
67,Nuclear,0.8961032789482021
68,Fossil Gas,1
68,Fossil Hard coal,0.8064731398064732
68,Fossil Oil,1
68,Hydro Water Reservoir,1
68,Nuclear,0.8961032789482021
69,Fossil Gas,1
69,Fossil Hard coal,0.8064731398064732
69,Fossil Oil,1
69,Hydro Water Reservoir,1
69,Nuclear,0.8961032789482021
70,Fossil Gas,0.9735909454670173
70,Fossil Hard coal,0.8064731398064732
70,Fossil Oil,1
70,Hydro Water Reservoir,1
70,Nuclear,0.8961032789482021
