AREAS,TIMESTAMP_d,INTERCOS,availabilityFactor_import,availabilityFactor_export,da_price
FR,2015-01-01T00:00:00Z,BE,0.6216216216216216,0.8611111111111112,30.51
FR,2015-01-01T01:00:00Z,BE,0.6216216216216216,0.8611111111111112,28.47
FR,2015-01-01T02:00:00Z,BE,0.6216216216216216,0.8611111111111112,25.913333333333334
FR,2015-01-01T03:00:00Z,BE,0.6216216216216216,0.8611111111111112,23.08
FR,2015-01-01T04:00:00Z,BE,0.6216216216216216,0.8611111111111112,21.326666666666668
FR,2015-01-01T05:00:00Z,BE,0.6216216216216216,0.8611111111111112,20.163333333333334
FR,2015-01-01T06:00:00Z,BE,0.6216216216216216,0.8611111111111112,21.05
FR,2015-01-01T07:00:00Z,BE,0.6216216216216216,0.8611111111111112,19.116666666666667
FR,2015-01-01T08:00:00Z,BE,0.6216216216216216,0.8611111111111112,21.103333333333335
FR,2015-01-01T09:00:00Z,BE,0.6216216216216216,0.8611111111111112,24.38
FR,2015-01-01T10:00:00Z,BE,0.6216216216216216,0.8611111111111112,25.636666666666667
FR,2015-01-01T11:00:00Z,BE,0.6216216216216216,0.8611111111111112,26.743333333333336
FR,2015-01-01T12:00:00Z,BE,0.6216216216216216,0.8611111111111112,27.580000000000002
FR,2015-01-01T13:00:00Z,BE,0.6216216216216216,0.8611111111111112,26.273333333333333
FR,2015-01-01T14:00:00Z,BE,0.6216216216216216,0.8611111111111112,24.23
FR,2015-01-01T15:00:00Z,BE,0.6216216216216216,0.8611111111111112,25.313333333333333
FR,2015-01-01T16:00:00Z,BE,0.6216216216216216,0.8611111111111112,29.063333333333336
FR,2015-01-01T17:00:00Z,BE,0.6216216216216216,0.8611111111111112,35.28
FR,2015-01-01T18:00:00Z,BE,0.6216216216216216,0.8611111111111112,37.25333333333333
FR,2015-01-01T19:00:00Z,BE,0.6216216216216216,0.8611111111111112,37.33
FR,2015-01-01T20:00:00Z,BE,0.6216216216216216,0.8611111111111112,36.21666666666667
FR,2015-01-01T21:00:00Z,BE,0.6216216216216216,0.8611111111111112,35.73
FR,2015-01-01T22:00:00Z,BE,0.6216216216216216,0.8611111111111112,33.24666666666667
FR,2015-01-01T23:00:00Z,BE,0.6216216216216216,0.8611111111111112,39.71333333333334
FR,2015-01-02T00:00:00Z,BE,0.6216216216216216,0.8611111111111112,35.480000000000004
FR,2015-01-02T01:00:00Z,BE,0.6216216216216216,0.8611111111111112,33.17666666666667
FR,2015-01-02T02:00:00Z,BE,0.6216216216216216,0.8611111111111112,29.993333333333336
FR,2015-01-02T03:00:00Z,BE,0.6216216216216216,0.8611111111111112,27.01
FR,2015-01-02T04:00:00Z,BE,0.6216216216216216,0.8611111111111112,28.61
FR,2015-01-02T05:00:00Z,BE,0.6216216216216216,0.8611111111111112,32.57333333333333
FR,2015-01-02T06:00:00Z,BE,0.6216216216216216,0.8611111111111112,39.52
FR,2015-01-02T07:00:00Z,BE,0.6216216216216216,0.8611111111111112,43.01
FR,2015-01-02T08:00:00Z,BE,0.6216216216216216,0.8611111111111112,45.64
FR,2015-01-02T09:00:00Z,BE,0.6216216216216216,0.8611111111111112,47.92666666666667
FR,2015-01-02T10:00:00Z,BE,0.6216216216216216,0.8611111111111112,46.82
FR,2015-01-02T11:00:00Z,BE,0.6216216216216216,0.8611111111111112,47.906666666666666
FR,2015-01-02T12:00:00Z,BE,0.6216216216216216,0.8611111111111112,48.74666666666666
FR,2015-01-02T13:00:00Z,BE,0.6216216216216216,0.8611111111111112,45.876666666666665
FR,2015-01-02T14:00:00Z,BE,0.6216216216216216,0.8611111111111112,44.24
FR,2015-01-02T15:00:00Z,BE,0.6216216216216216,0.8611111111111112,45.00333333333334
FR,2015-01-02T16:00:00Z,BE,0.6216216216216216,0.8611111111111112,51.85666666666666
FR,2015-01-02T17:00:00Z,BE,0.6216216216216216,0.8611111111111112,65.54666666666667
FR,2015-01-02T18:00:00Z,BE,0.6216216216216216,0.8611111111111112,58.230000000000004
FR,2015-01-02T19:00:00Z,BE,0.6216216216216216,0.8611111111111112,50.68333333333334
FR,2015-01-02T20:00:00Z,BE,0.6216216216216216,0.8611111111111112,51.733333333333334
FR,2015-01-02T21:00:00Z,BE,0.6216216216216216,0.8611111111111112,49.016666666666666
FR,2015-01-02T22:00:00Z,BE,0.6216216216216216,0.8611111111111112,48.47
FR,2015-01-02T23:00:00Z,BE,0.6216216216216216,0.8611111111111112,42.45
FR,2015-01-03T00:00:00Z,BE,0.6216216216216216,0.8611111111111112,40.263333333333335
FR,2015-01-03T01:00:00Z,BE,0.6216216216216216,0.8611111111111112,38.306666666666665
FR,2015-01-03T02:00:00Z,BE,0.6216216216216216,0.8611111111111112,35.32
FR,2015-01-03T03:00:00Z,BE,0.6216216216216216,0.8611111111111112,33.406666666666666
FR,2015-01-03T04:00:00Z,BE,0.6216216216216216,0.8611111111111112,33.82333333333333
FR,2015-01-03T05:00:00Z,BE,0.6216216216216216,0.8611111111111112,36.233333333333334
FR,2015-01-03T06:00:00Z,BE,0.6216216216216216,0.8611111111111112,39.236666666666665
FR,2015-01-03T07:00:00Z,BE,0.6216216216216216,0.8611111111111112,42.46
FR,2015-01-03T08:00:00Z,BE,0.6216216216216216,0.8611111111111112,44.24
FR,2015-01-03T09:00:00Z,BE,0.6216216216216216,0.8611111111111112,45.39
FR,2015-01-03T10:00:00Z,BE,0.6216216216216216,0.8611111111111112,47.1
FR,2015-01-03T11:00:00Z,BE,0.6216216216216216,0.8611111111111112,47.01
