AREAS,TIMESTAMP,TECHNOLOGIES,intercept_param,margin_param,margin,fuel_price_param,fuel_price,co2_price_param,co2_price,energy_param,p0,p1,energy,price_sim,price_obs,intercept
FR,6632,Nuclear,0,0,12.44400000000001,0,0.0,0.0,6.9366666666666665,0.01584032947885316,0.0,0.01584032947885316,39.56799967498486,37.57683986635048,60.86,1
FR,6633,Nuclear,0,0,12.631000000000007,0,0.0,0.0,6.935555555555555,0.01584032947885316,0.0,0.01584032947885316,39.56799967497146,36.85972769413922,59.35,1
FR,6634,Nuclear,0,0,13.351000000000006,0,0.0,0.0,6.934444444444444,0.01584032947885316,0.0,0.01584032947885316,39.56799967495699,35.444897571877306,57.94,1
FR,6635,Nuclear,0,0,13.547000000000004,0,0.0,0.0,6.933333333333334,0.01584032947885316,0.0,0.01584032947885316,39.56799967483563,36.54845621320918,57.69,1
FR,6636,Nuclear,0,0,13.533000000000008,0,0.0,0.0,6.932222222222222,0.01584032947885316,0.0,0.01584032947885316,39.567999674858804,37.570687188607806,53.25,1
FR,6637,Nuclear,0,0,16.317000000000007,0,0.0,0.0,6.931111111111111,0.01584032947885316,0.0,0.01584032947885316,39.567999672649606,36.195235901184546,52.9,1
FR,6638,Nuclear,0,0,17.204,0,0.0,0.0,6.93,0.01584032947885316,0.0,0.01584032947885316,39.567999672692984,34.54406755876329,44.69,1
FR,6639,Nuclear,0,0,17.669999999999995,0,0.0,0.0,6.928888888888888,0.01584032947885316,0.0,0.01584032947885316,39.23799967804341,35.53291431048138,51.2,1
FR,6640,Nuclear,0,0,17.860999999999997,0,0.0,0.0,6.927777777777778,0.01584032947885316,0.0,0.01584032947885316,38.842999681895336,37.90508587502414,54.34,1
FR,6641,Nuclear,0,0,16.497,0,0.0,0.0,6.926666666666667,0.01584032947885316,0.0,0.01584032947885316,39.172999678750585,39.55798054280835,58.5,1
FR,6642,Nuclear,0,0,12.399999999999999,0,0.0,0.0,6.925555555555556,0.01584032947885316,0.0,0.01584032947885316,39.17299967883875,44.707713455940144,65.07,1
FR,6643,Nuclear,0,0,10.273000000000003,0,0.0,0.0,6.924444444444444,0.01584032947885316,0.0,0.01584032947885316,39.17299967887176,38.117857617878975,66.06,1
FR,6644,Nuclear,0,0,14.82,0,0.0,0.0,6.923333333333333,0.01584032947885316,0.0,0.01584032947885316,39.17299967880893,35.333854412448865,56.0,1
FR,6645,Nuclear,0,0,18.579,0,0.0,0.0,6.922222222222223,0.01584032947885316,0.0,0.01584032947885316,39.17299967860808,37.8983514919104,53.47,1
FR,6646,Nuclear,0,0,15.527000000000001,0,0.0,0.0,6.921111111111111,0.01584032947885316,0.0,0.01584032947885316,39.17299967848448,37.67613427978255,50.82,1
FR,6647,Nuclear,0,0,17.583,0,0.0,0.0,6.92,0.01584032947885316,0.0,0.01584032947885316,39.17299967703153,36.63667143095095,52.09,1
FR,6648,Nuclear,0,0,21.891,0,0.0,0.0,6.91375,0.01584032947885316,0.0,0.01584032947885316,39.17299967389322,37.50588080325124,47.43,1
FR,6649,Nuclear,0,0,23.479999999999997,0,0.0,0.0,6.9075,0.01584032947885316,0.0,0.01584032947885316,39.17299966785408,33.127180966370034,45.12,1
FR,6650,Nuclear,0,0,25.711999999999996,0,0.0,0.0,6.90125,0.01584032947885316,0.0,0.01584032947885316,38.09799962475732,31.892464760276987,32.05,1
FR,6651,Nuclear,0,0,27.024,0,0.0,0.0,6.895,0.01584032947885316,0.0,0.01584032947885316,38.09799964850045,30.52082986988309,28.18,1
FR,6652,Nuclear,0,0,27.528,0,0.0,0.0,6.88875,0.01584032947885316,0.0,0.01584032947885316,38.229999662879855,31.640553363495513,36.99,1
FR,6653,Nuclear,0,0,24.116,0,0.0,0.0,6.8825,0.01584032947885316,0.0,0.01584032947885316,38.229999682961974,36.706802279141655,47.61,1
FR,6654,Nuclear,0,0,18.643,0,0.0,0.0,6.87625,0.01584032947885316,0.0,0.01584032947885316,39.304999677404275,39.43264526766658,62.25,1
FR,6655,Nuclear,0,0,16.121000000000002,0,0.0,0.0,6.87,0.01584032947885316,0.0,0.01584032947885316,39.30499967740359,37.5837668454179,59.68,1
